epoch,train_loss,val_loss,val_mae_surface_area,val_mae_bbox_volume,val_r2_surface_area,val_r2_bbox_volume,lr,epoch_time_s
1,0.462705,0.063688,798472.750000,267581504.000000,0.072226,-0.217077,1.00e-03,73.68
2,0.196230,0.035496,1283469.125000,203540896.000000,-1.245525,0.512285,1.00e-03,73.32
3,0.123876,0.045022,633402.375000,186039088.000000,0.261130,0.345013,9.99e-04,73.34
4,0.086626,0.031378,463204.718750,194849536.000000,0.518206,0.665561,9.99e-04,73.42
5,0.068102,0.025079,382282.281250,157403712.000000,0.589917,0.664411,9.98e-04,73.39
6,0.054093,0.029873,417140.593750,290533792.000000,0.642678,-4.372709,9.98e-04,73.48
7,0.051663,0.038379,429734.875000,170730944.000000,0.547170,0.684605,9.97e-04,73.52
8,0.050633,0.025403,424036.156250,181676336.000000,0.585680,-0.717221,9.96e-04,73.45
9,0.045276,0.027438,392909.062500,167371056.000000,0.682186,0.065500,9.95e-04,73.42
10,0.046153,0.024001,392758.062500,144294384.000000,0.640000,0.857044,9.94e-04,73.42
