epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s
1,1.904834,0.491108,1.334809,0.614017,1.00e-03,146.65
2,1.068246,0.688008,1.018686,0.701371,1.00e-03,146.46
3,0.855820,0.744919,0.667932,0.795328,1.00e-03,90.30
4,0.763743,0.769817,0.550605,0.831386,9.99e-04,71.98
5,0.688608,0.788618,0.708719,0.790249,9.99e-04,77.07
6,0.626778,0.807673,0.517330,0.836973,9.99e-04,71.98
7,0.592104,0.814533,0.494592,0.840020,9.98e-04,71.99
8,0.562434,0.820376,0.478604,0.846115,9.98e-04,71.82
9,0.534246,0.829776,0.497628,0.851193,9.97e-04,71.91
10,0.531051,0.830158,0.426432,0.862367,9.96e-04,72.16
11,0.491119,0.840320,0.456777,0.858812,9.95e-04,72.19
12,0.479896,0.848069,0.437767,0.869985,9.94e-04,71.90
13,0.475145,0.848196,0.430858,0.864398,9.93e-04,71.88
14,0.455509,0.853023,0.430290,0.866430,9.92e-04,72.04
15,0.425282,0.861662,0.388296,0.884205,9.91e-04,72.07
16,0.429174,0.858486,0.426961,0.873540,9.90e-04,71.91
17,0.408409,0.865473,0.439791,0.869477,9.89e-04,71.89
18,0.418284,0.865091,0.411592,0.876079,9.87e-04,71.94
19,0.386640,0.871824,0.441641,0.864398,9.86e-04,71.94
20,0.395657,0.872205,0.401982,0.872524,9.84e-04,72.06
21,0.384360,0.871824,0.394549,0.881666,9.83e-04,72.04
22,0.390224,0.870808,0.380012,0.884713,9.81e-04,71.86
23,0.357170,0.883511,0.415437,0.875571,9.79e-04,72.05
24,0.371559,0.880716,0.382675,0.882682,9.78e-04,72.07
25,0.362627,0.877033,0.415925,0.872524,9.76e-04,71.97
26,0.358082,0.880716,0.442010,0.859827,9.74e-04,72.02
27,0.361378,0.883130,0.379139,0.883697,9.72e-04,72.02
28,0.350456,0.884909,0.412594,0.881158,9.70e-04,71.94
29,0.341616,0.888465,0.390324,0.886745,9.67e-04,71.88
30,0.339640,0.885925,0.371932,0.890300,9.65e-04,71.95
31,0.329318,0.890498,0.353710,0.893347,9.63e-04,71.94
32,0.336240,0.886814,0.370162,0.894363,9.61e-04,72.13
33,0.305566,0.901042,0.379508,0.893347,9.58e-04,71.91
34,0.306624,0.895198,0.380156,0.886745,9.56e-04,71.94
35,0.317632,0.890117,0.413087,0.880650,9.53e-04,71.87
36,0.303406,0.895071,0.366777,0.888776,9.50e-04,71.85
37,0.298627,0.895198,0.391166,0.886237,9.47e-04,71.97
38,0.307506,0.894690,0.408081,0.875571,9.45e-04,71.95
39,0.298360,0.898755,0.390770,0.889792,9.42e-04,71.99
40,0.294993,0.901550,0.411462,0.871001,9.39e-04,71.95
41,0.297531,0.899644,0.386992,0.886237,9.36e-04,71.94
42,0.278715,0.905742,0.403441,0.887760,9.33e-04,71.99
43,0.271418,0.906377,0.392806,0.883189,9.29e-04,72.13
44,0.289880,0.902947,0.402642,0.879634,9.26e-04,71.92
45,0.277107,0.905615,0.389699,0.883697,9.23e-04,72.17
46,0.274632,0.903836,0.406899,0.881666,9.20e-04,72.08
47,0.272113,0.908791,0.374171,0.890300,9.16e-04,71.98
48,0.274162,0.904599,0.373410,0.894870,9.13e-04,72.01
49,0.263453,0.910569,0.359225,0.889792,9.09e-04,71.98
50,0.251928,0.915777,0.355963,0.896394,9.05e-04,70.37
51,0.250592,0.911966,0.398198,0.886745,9.02e-04,69.75
