epoch,train_huber_loss,val_huber_loss,val_mae_solidVolume,val_rmse_solidVolume,val_r2_solidVolume,val_mae_surfaceVolume,val_rmse_surfaceVolume,val_r2_surfaceVolume,val_mae_supportSurfaceArea,val_rmse_supportSurfaceArea,val_r2_supportSurfaceArea,val_mae_aligned_dim_x,val_rmse_aligned_dim_x,val_r2_aligned_dim_x,val_mae_aligned_dim_y,val_rmse_aligned_dim_y,val_r2_aligned_dim_y,val_mae_aligned_dim_z,val_rmse_aligned_dim_z,val_r2_aligned_dim_z,lr,epoch_time_s
1,0.401167,0.144118,0.06328523,0.12626636,0.68814136,0.01416439,0.02562207,0.73960136,0.04019118,0.06679400,0.20477909,0.20571029,0.30611181,0.66591817,0.15960167,0.22362870,0.73680584,0.15465738,0.21306796,0.69564871,3.00e-04,40.27
2,0.276203,0.112379,0.05681834,0.09689680,0.81634563,0.01299585,0.02387918,0.77382269,0.03819944,0.06279663,0.29711301,0.14776540,0.22102220,0.82583354,0.10897178,0.17203997,0.84423142,0.14034767,0.22190349,0.66988358,3.00e-04,39.86
3,0.231852,0.109694,0.04613822,0.10537864,0.78278610,0.01256843,0.02704802,0.70981082,0.03523458,0.05939058,0.37129344,0.18600082,0.27511770,0.73014543,0.09129827,0.14174604,0.89425908,0.13833496,0.22846234,0.65008055,3.00e-04,39.96
4,0.205155,0.099730,0.03866510,0.07491311,0.89022633,0.01173813,0.02330947,0.78448621,0.03362210,0.06018412,0.35438051,0.17927700,0.26668131,0.74644168,0.10855085,0.16688699,0.85342290,0.12669504,0.19775030,0.73783593,3.00e-04,39.89
5,0.193020,0.081981,0.04291088,0.08634585,0.85416378,0.00957454,0.02079824,0.82842122,0.03014247,0.05306675,0.49805315,0.14286879,0.22421142,0.82077104,0.08191110,0.12980296,0.91132721,0.11921943,0.20081477,0.72964767,3.00e-04,39.87
6,0.169237,0.084371,0.03618295,0.07379746,0.89347162,0.01073377,0.02156582,0.81552298,0.03316579,0.05551554,0.45065910,0.14704418,0.22953655,0.81215639,0.07222458,0.12008786,0.92410391,0.12252551,0.20083568,0.72959135,2.99e-04,39.88
7,0.159352,0.079792,0.04172149,0.08321424,0.86455040,0.01085957,0.02177952,0.81184889,0.02970189,0.05385600,0.48301125,0.13405216,0.20645744,0.84803144,0.08114747,0.13950203,0.89758059,0.11221450,0.19038858,0.75699199,2.99e-04,39.83
8,0.152344,0.080481,0.04083631,0.08722392,0.85118262,0.00974724,0.02173589,0.81260195,0.02937222,0.05211600,0.51587778,0.14628857,0.22396496,0.82116487,0.08896900,0.14141342,0.89475476,0.11217068,0.19363859,0.74862466,2.99e-04,39.86
9,0.145631,0.088791,0.03829496,0.08252284,0.86679185,0.01021438,0.02245546,0.79998881,0.03066524,0.05300526,0.49921571,0.16028449,0.31305164,0.65059856,0.08214713,0.17403077,0.84060554,0.12098355,0.22322240,0.66594776,2.99e-04,39.90
10,0.140932,0.073817,0.04294869,0.08516000,0.85814201,0.00955779,0.01785979,0.87347891,0.02792461,0.05109635,0.53463630,0.11916482,0.19714713,0.86142860,0.08431704,0.13816144,0.89953960,0.11542524,0.17719899,0.78949554,2.98e-04,39.87
11,0.130177,0.078602,0.04360663,0.09748039,0.81412669,0.00955565,0.02048573,0.83353873,0.03020217,0.05181651,0.52142599,0.13220283,0.21225962,0.83936969,0.10069344,0.15229292,0.87793796,0.09842325,0.16107978,0.82605141,2.98e-04,39.86
12,0.126410,0.067129,0.03982679,0.07846121,0.87958171,0.00814468,0.01748995,0.87866461,0.02880758,0.04903509,0.57142492,0.13197565,0.20274143,0.85345273,0.06729065,0.11281104,0.93302321,0.10064143,0.16526258,0.81690019,2.97e-04,39.81
13,0.125575,0.091346,0.04030330,0.08032648,0.87378822,0.01093921,0.02339359,0.78292789,0.03128387,0.05508833,0.45908120,0.17391896,0.27504137,0.73029513,0.07760760,0.12077138,0.92323748,0.13314070,0.21100757,0.70150648,2.97e-04,39.91
14,0.119695,0.061461,0.03489075,0.07666808,0.88502284,0.00878143,0.01892873,0.85788071,0.02715718,0.04720998,0.60273486,0.10749306,0.17487416,0.89097050,0.06043746,0.09944730,0.94795162,0.10148634,0.15951766,0.82940891,2.97e-04,39.91
15,0.115501,0.065915,0.03406947,0.07137637,0.90034677,0.00926568,0.02006997,0.84022685,0.02750075,0.05249718,0.50877014,0.10116530,0.16431688,0.90373752,0.06843555,0.11235385,0.93356497,0.10378195,0.17406599,0.79687344,2.96e-04,39.85
16,0.103126,0.066551,0.03191895,0.06660330,0.91322913,0.00924955,0.01915805,0.85441624,0.02803023,0.04991867,0.55584060,0.11714135,0.18763892,0.87447258,0.07088533,0.11397968,0.93162835,0.11227375,0.18665768,0.76642272,2.95e-04,39.83
