epoch,train_huber_loss,val_huber_loss,val_mae,val_rmse,val_r2,lr,epoch_time_s
1,0.358273,0.088331,18.44023132,78.81096649,-0.25152977,3.00e-04,29.16
2,0.248717,0.155093,66.74229431,1015.58807373,-206.82754142,3.00e-04,29.08
3,0.197912,0.131786,25.46249390,215.15333557,-8.32747439,3.00e-04,29.34
4,0.171913,0.054748,12.95648193,26.98768425,0.85324289,2.99e-04,29.20
5,0.144349,0.057302,12.47401714,35.28288651,0.74916040,2.99e-04,29.17
6,0.143141,0.048208,15.05581760,36.18903732,0.73611058,2.98e-04,29.22
7,0.123080,0.041607,13.45315552,30.10011864,0.81744055,2.98e-04,29.23
8,0.133978,0.054297,15.24377155,34.19057465,0.76445128,2.97e-04,29.21
9,0.126185,0.064444,21.12027931,62.49013138,0.21315214,2.96e-04,29.25
10,0.124860,0.044640,14.87264729,34.37844467,0.76185559,2.95e-04,29.17
11,0.104021,0.050660,20.02913284,85.58090973,-0.47578024,2.94e-04,29.22
12,0.112439,0.056232,15.53818703,33.89983368,0.76844026,2.93e-04,29.21
13,0.098770,0.035353,14.83225918,35.05838394,0.75234238,2.92e-04,29.20
14,0.101931,0.035403,12.56232548,27.84761429,0.84374141,2.90e-04,29.21
15,0.105597,0.047490,16.86968613,38.46759415,0.70183412,2.89e-04,29.26
16,0.102379,0.057746,19.79020882,45.50961685,0.58267515,2.87e-04,29.19
17,0.089848,0.052120,16.34535789,37.04817963,0.72343215,2.86e-04,29.33
18,0.090766,0.083273,22.02545547,87.28725433,-0.53521624,2.84e-04,29.30
19,0.085454,0.055275,14.05689716,30.10191536,0.81741876,2.82e-04,29.32
20,0.080173,0.059163,13.98073483,30.76445007,0.80929319,2.81e-04,29.33
21,0.077831,0.053424,16.97134972,42.15772247,0.64188526,2.79e-04,29.36
22,0.079830,0.039147,11.23759842,24.75062943,0.87656440,2.77e-04,29.28
23,0.073618,0.032409,12.35233307,28.74657631,0.83349006,2.74e-04,29.23
24,0.067269,0.044112,12.98064709,33.31660843,0.77633942,2.72e-04,29.21
25,0.066904,0.038700,13.18962193,43.28850174,0.62241651,2.70e-04,29.22
26,0.066303,0.046140,17.31064224,38.34050751,0.70380095,2.68e-04,29.22
27,0.066441,0.037936,14.64048672,37.47318268,0.71705040,2.65e-04,29.21
