class_name,class_id,accuracy
airplane,0,1.000000
bathtub,1,0.760000
bed,2,0.980000
bench,3,0.750000
bookshelf,4,0.960000
bottle,5,0.940000
bowl,6,0.850000
car,7,0.960000
chair,8,0.990000
cone,9,0.900000
cup,10,0.600000
curtain,11,0.750000
desk,12,0.825581
door,13,0.950000
dresser,14,0.534884
flower_pot,15,0.200000
glass_box,16,0.870000
guitar,17,1.000000
keyboard,18,1.000000
lamp,19,0.850000
laptop,20,1.000000
mantel,21,0.960000
monitor,22,0.970000
night_stand,23,0.674419
person,24,0.800000
piano,25,0.870000
plant,26,0.840000
radio,27,0.750000
range_hood,28,0.900000
sink,29,0.750000
sofa,30,0.910000
stairs,31,0.900000
stool,32,0.700000
table,33,0.670000
tent,34,0.950000
toilet,35,0.980000
tv_stand,36,0.850000
vase,37,0.860000
wardrobe,38,0.750000
xbox,39,0.850000
